year,country_code,gdp_usd,gdp_per_capita,fdi_pct_gdp,inflation_rate,unemployment_rate,real_economic_growth_indicator
2000,ASM,,,,,,
2001,ASM,,,,,,
2002,ASM,512000000.0,8666.65538195914,,,,
2003,ASM,524000000.0,8807.46281200101,,,,
2004,ASM,509000000.0,8528.24877689163,,,,
2005,ASM,500000000.0,8395.31877025371,,,,
2006,ASM,493000000.0,8340.52343974691,,,,
2007,ASM,518000000.0,8874.87792759607,,,,
2008,ASM,560000000.0,9740.82449121586,,,,
2009,ASM,675000000.0,11910.013233348,,,,
2010,ASM,573000000.0,10216.8176306968,,,,
2011,ASM,570000000.0,10223.2983588916,,,,
2012,ASM,640000000.0,11496.5240977923,,,,
2013,ASM,638000000.0,11450.7241954879,,,,
2014,ASM,643000000.0,11525.1563872309,,,,
2015,ASM,673000000.0,12059.6351646776,,,,
2016,ASM,671000000.0,12038.2496994923,,,,
2017,ASM,612000000.0,11003.8297642807,,,,
2018,ASM,639000000.0,11521.6097798453,,,,
2019,ASM,648000000.0,11715.3601388487,,,,
2020,ASM,709000000.0,12844.9009909959,,,,
2000,AUS,415576210513.094,21697.7084797731,3.58369362909274,4.45743514797225,6.28000020980835,4867.7564023884215
2001,AUS,379083932596.329,19527.3235767954,2.8271135305818,4.4071353620147,6.73999977111816,4430.842706829993
2002,AUS,395342716617.832,20117.7888912664,3.7072446726536,2.98157453936349,6.36999988555908,6747.37076858765
2003,AUS,467390797903.32,23492.4051742272,1.92242681494962,2.73259596616783,5.92999982833862,8597.10160780657
2004,AUS,614166310997.297,30513.9417409748,6.98632797860585,2.34325522482587,5.3899998664856,13022.030813242858
2005,AUS,695075176665.163,34080.9998953245,-3.61013344708722,2.69183168316831,5.03000020980835,12660.895593297591
2006,AUS,747556154537.287,36117.487983674,4.08679675381824,3.55528773727028,4.78000020980835,10158.808696424863
2007,AUS,853955405511.502,41001.1429790999,5.20402936159806,2.32761128891476,4.38000011444092,17615.116052395726
2008,AUS,1055127126230.98,49654.9105957389,4.2800552794293,4.35029854990047,4.23000001907349,11414.138599033611
2009,AUS,928042998085.702,42783.3225651148,3.09072599082648,1.77111716621252,5.55999994277954,24156.12212522655
2010,AUS,1147589183475.73,52087.9722888891,3.06823506617928,2.91834002677376,5.21000003814697,17848.493256789076
2011,AUS,1397907916789.9,62574.1457032412,4.68949992071525,3.30385015608744,5.07999992370605,18939.765045925746
2012,AUS,1546508558465.66,68027.8417067378,3.72131318042697,1.76278015613193,5.21999979019165,38591.22277392284
2013,AUS,1576335282651.07,68156.6279162085,3.45519640739611,2.44988864142539,5.65999984741211,27820.296303979645
2014,AUS,1467504819608.92,62511.6905895284,4.30681570751474,2.48792270531403,6.07999992370605,25126.058159285967
2015,AUS,1350534154255.76,56707.0220772116,3.47216754349266,1.50836672165921,6.05000019073486,37594.983542751215
2016,AUS,1206685107002.47,49881.7637140466,3.56095429419089,1.27699094497328,5.71000003814697,39061.95569389127
2017,AUS,1326882872011.46,53934.2501750463,3.63246939512402,1.94864740944522,5.59000015258789,27677.78814865301
2018,AUS,1428529571351.06,57180.7794001614,4.29284940490712,1.91140094445692,5.30000019073486,29915.638352061185
2019,AUS,1391952510370.48,54875.2859563351,2.80909001665667,1.61076787290379,5.15999984741211,34067.7802676865
2020,AUS,1327836171068.51,51692.8427477695,1.47901487954821,0.846905537459293,6.46000003814697,61037.31816755791
2000,BRN,6001153306.2645,18012.5021948953,9.15836044592086,1.55815247634947,5.67799997329712,11560.166587223886
2001,BRN,5601090584.36122,16472.0032948215,1.08362189010565,0.595890410958983,5.78499984741211,27642.672195903688
2002,BRN,5843329107.56171,16850.3940790817,3.93049837597171,-2.3149724245932,5.94099998474121,-7278.874642337367
2003,BRN,6557333084.60567,18560.5035016224,1.88828155515105,0.299999999999977,6.01200008392334,61868.34500541274
2004,BRN,7872333215.00414,21902.0271176465,1.43802178934314,0.814223994682602,6.02099990844727,26899.26514163252
2005,BRN,9531402847.87311,26105.4220290571,1.83675498095092,1.24443711883964,6.125,20977.69476162748
2006,BRN,11470703002.0769,30979.9628427354,0.765769354306188,0.159888078345143,6.40999984741211,193760.3051045519
2007,BRN,12247694247.2298,32663.3923711414,2.1035446532851,0.967774119525083,6.33300018310547,33751.04966350035
2008,BRN,14393099068.5859,37934.6764481019,1.54368804404399,2.08498023715416,6.34899997711182,18194.261879373906
2009,BRN,10732366286.2643,27956.0051426256,3.03369097831975,1.03571774271615,6.46500015258789,26991.91487181779
2010,BRN,13707370737.0737,35270.6421390658,3.50703687979936,0.356869132017602,6.77400016784668,98833.54701948872
2011,BRN,18525319977.7407,47055.960643203,3.7309491832286,0.137911563169595,6.94099998474121,341203.8813985201
2012,BRN,19047940300.8963,47739.5576931563,4.54067743723085,0.111766261400274,6.91599988937378,427137.46612838976
