year,country_code,co2_emissions_kt,co2_emissions_per_capita_tons,renewable_energy_pct,forest_area_pct,green_transition_score,co2_intensity_per_million_gdp
2000,ASM,,,0.0,88.65,0.0,
2001,ASM,,,0.0,88.5,0.0,
2002,ASM,,,0.0,88.35,0.0,
2003,ASM,,,0.0,88.2,0.0,
2004,ASM,,,0.0,88.05,0.0,
2005,ASM,,,0.0,87.9,0.0,
2006,ASM,,,0.0,87.75,0.0,
2007,ASM,,,0.0,87.6,0.0,
2008,ASM,,,0.0,87.45,0.0,
2009,ASM,,,0.0,87.3,0.0,
2010,ASM,,,0.0,87.15,0.0,
2011,ASM,,,0.0,87.0,0.0,
2012,ASM,,,0.899699985980988,86.85,0.899699985980988,
2013,ASM,,,1.5463000535965,86.7,1.5463000535965,
2014,ASM,,,1.52069997787476,86.55,1.52069997787476,
2015,ASM,,,1.45869994163513,86.4,1.45869994163513,
2016,ASM,,,1.72140002250671,86.25,1.72140002250671,
2017,ASM,,,2.89809989929199,86.1,2.89809989929199,
2018,ASM,,,2.85660004615784,85.95,2.85660004615784,
2019,ASM,,,,85.8,,
2020,ASM,,,,85.65,,
2000,AUS,338810.0,17.689656972797998,8.42399978637695,17.1581557606446,8.42399978630827,0.8152776588960324
2001,AUS,344960.0,17.76953587801988,8.37100028991699,17.1286333519909,8.371000289840817,0.9099831734818838
2002,AUS,352890.0,17.957499211252124,8.73950004577637,17.0991109433373,8.73950004569836,0.8926179367081398
2003,AUS,351990.0,17.692029313308602,7.15150022506714,17.0695885346836,7.151500225013281,0.7530956997420589
2004,AUS,365270.0,18.14789789043791,6.68079996109009,17.04006612603,6.680799961050356,0.5947411856682051
2005,AUS,369510.0,18.117853570517976,6.71229982376099,17.0105437173763,6.7122998237253055,0.531611561461363
2006,AUS,375060.0,18.120678909454583,6.853600025177,16.9810213087226,6.853600025142615,0.5017148179753131
2007,AUS,385370.0,18.50285198486624,6.9520001411438,16.951498900069,6.952000141112428,0.4512764923235906
2008,AUS,388500.0,18.283041243905654,6.78999996185303,16.9219764914153,6.789999961828029,0.3682020775901772
2009,AUS,394950.0,18.20742495977724,7.14890003204346,16.8924540827617,7.148900032013036,0.4255729538552345
2010,AUS,387350.0,17.581444960114382,8.1633996963501,16.862931674108,8.163399696322546,0.3375336798024046
2011,AUS,385770.0,17.268110365503638,8.31859970092773,16.9553102586465,8.318599700904775,0.275962383048711
2012,AUS,385770.0,16.969256556358655,8.29450035095215,17.047688843185,8.29450035093146,0.2494457582457446
2013,AUS,379270.0,16.39864599509973,9.21520042419434,17.1400674277235,9.215200424172169,0.2406023668785401
2014,AUS,369880.0,15.755876100915646,9.3169002532959,17.232446012262,9.316900253272417,0.2520468723902184
2015,AUS,375970.0,15.786449400917324,9.31550025939941,17.3248245968004,9.315500259373476,0.2783861472997594
2016,AUS,383960.0,15.872079537985078,9.4197998046875,17.4254877132405,9.419799804657528,0.3181940323717064
2017,AUS,387200.0,15.738647403082531,9.68610000610352,17.4229136169693,9.686100006075252,0.2918117402578513
2018,AUS,386620.0,15.475516485655987,9.64500045776367,17.4213145571644,9.645000457737568,0.2706419298232283
2019,AUS,,,,17.4213145571644,,
2020,AUS,,,,17.4213145571644,,
2000,BRN,4430.0,13.29667493081527,0.0,75.3320683111954,0.0,0.7381914398646674
2001,BRN,4310.0,12.675091240070934,0.0,75.0094876660342,0.0,0.7694930005299202
2002,BRN,4360.0,12.572921502867835,0.0,74.6869070208729,0.0,0.7461499976713325
2003,BRN,5250.0,14.860102746996136,0.0,74.3643263757116,0.0,0.8006303679044715
2004,BRN,4920.0,13.688187539297896,0.0,74.0417457305503,0.0,0.624973545406184
2005,BRN,4820.0,13.20142860273012,0.0,73.719165085389,0.0,0.5056968084268478
2006,BRN,7220.0,19.499705613862616,0.0,73.3965844402277,0.0,0.6294295997980888
2007,BRN,6840.0,18.24160526126299,0.0,73.0740037950664,0.0,0.5584724652599063
2008,BRN,7220.0,19.02914463731293,0.0,72.7514231499051,0.0,0.501629285367613
2009,BRN,7430.0,19.353897609285703,0.0,72.4288425047438,0.0,0.6922983992364483
2010,BRN,6860.0,17.651569342877874,0.0,72.1062618595825,0.0,0.5004606741573036
2011,BRN,7010.0,17.806023566945314,0.0157999992370605,72.1062618595825,0.0157999992370007,0.3784010213277256
2012,BRN,7130.0,17.869808544926403,0.0148000000044703,72.1062618595825,0.0148000000044149,0.374318686816994
2013,BRN,7020.0,17.35844950966089,0.0135000003501773,72.1062618595825,0.0135000003501249,0.3879775608463262
2014,BRN,6970.0,17.009209864853652,0.0140000004321337,72.1062618595825,0.0140000004320766,0.4076418508465805
2015,BRN,5980.0,14.412625266922785,0.0148999998345971,72.1062618595825,0.0148999998345281,0.4624762065474166
2016,BRN,6410.0,15.269503157523625,0.0074000000022351,72.1062618595825,0.0074000000021935,0.5622385699771407
2017,BRN,6710.0,15.80753908891093,0.0109000001102686,72.1062618595825,0.0109000001102082,0.5532603879935765
2018,BRN,7140.0,16.64490861618799,0.0109000001102686,72.1062618595825,0.0109000001102112,0.5262633735861431
2019,BRN,,,,72.1062618595825,,
2020,BRN,,,,72.1062618595825,,
2000,CHN,3344090.0,2.648479976557148,29.6030006408691,18.7804969919467,29.60300064005187,2.7606378353898946
2001,CHN,3526750.0,2.7729291976255066,28.3349990844727,19.031006736957,28.334999083726608,2.6330903931767926
2002,CHN,3808330.0,2.9743283348953446,26.9783992767334,19.2815168805051,26.97839927603473,2.589731706471869
2003,CHN,4413300.0,3.4254113629307668,23.8414993286133,19.5320280602681,23.841499327979555,2.658153339222259
2004,CHN,5121830.0,3.9518006288216334,20.1608009338379,19.7825365378985,20.160800933309808,2.619396959717577
2005,CHN,5819120.0,4.4634737520326455,17.4407997131348,20.0330481613855,17.44079971269083,2.545584787348567
2006,CHN,6431910.0,4.906034995652241,16.3850994110107,20.2835578851316,16.38509941062777,2.337064693726488
2007,CHN,6988210.0,5.302594687700369,14.8837003707886,20.5340680339958,14.883700370495642,1.968319826464473
2008,CHN,7195010.0,5.431610494808083,14.1378002166748,20.7845781828599,14.137800216453392,1.56607078038965
2009,CHN,7715110.0,5.795344260324804,13.4319000244141,21.0350872157688,13.431900024210975,1.5122616682057644
2010,CHN,8470570.0,6.332165911019246,12.2613000869751,21.2855968996448,12.26130008680448,1.3915462396978495
2011,CHN,9278250.0,6.898147631846012,11.3381996154785,21.49109623203,11.338199615339192,1.2286631592933208
2012,CHN,9533210.0,7.039787622120972,11.5367002487183,21.6965960161134,11.5367002485894,1.1173175142409688
2013,CHN,9936680.0,7.289017341040464,11.5220003128052,21.9020948706353,11.522000312685572,1.0382714960390722
2014,CHN,9894940.0,7.212791392707711,12.0614004135132,22.1075946459969,12.061400413399271,0.94456276263805
