year,country_code,governance_quality_index,global_resilience_score,human_development_composite,ecological_preservation_index
2000,ASM,0.5,,,0.0
2001,ASM,0.5,,,0.0
2002,ASM,0.5,,,0.0
2003,ASM,0.5,,,0.0
2004,ASM,0.5,,,0.0
2005,ASM,0.5,,,0.0
2006,ASM,0.5,,,0.0
2007,ASM,0.5,,,0.0
2008,ASM,0.5,,,0.0
2009,ASM,0.5,,,0.0
2010,ASM,0.5,,,0.0
2011,ASM,0.5,,,0.0
2012,ASM,0.5,,,0.8237941045859503
2013,ASM,0.5,,,1.0781172204300882
2014,ASM,0.5,,,1.0673057324877433
2015,ASM,0.5,,,1.0435102642671312
2016,ASM,0.5,,,1.1316184142602497
2017,ASM,0.5,,,1.465749745162194
2018,ASM,0.5,,,1.4526821511427248
2019,ASM,0.5,,,0.0
2020,ASM,0.5,,,0.0
2000,AUS,0.5,0.4862365865991831,0.0,0.4980005009056101
2001,AUS,0.5,0.46154918613842,0.0,0.4955772844857118
2002,AUS,0.5,0.3905205434930704,0.0,0.5054949539160507
2003,AUS,0.5,0.442985805383254,0.0,0.4564798701993815
2004,AUS,0.5,0.518273221470032,0.0,0.440438738270798
2005,AUS,0.5,0.647217317145715,0.0,0.440710978239808
2006,AUS,0.5,0.6698445316942692,0.0,0.4445526308180768
2007,AUS,0.5,0.7126384928189061,0.0,0.4469541683610734
2008,AUS,0.5,0.7802469675840195,0.0,0.4409465746719903
2009,AUS,0.5,0.7357663801006463,0.0,0.4516607580858169
2010,AUS,0.5,0.8072802578496548,0.0,0.4818020136884814
2011,AUS,0.5,0.8808060839101329,0.0,0.4890247663362994
2012,AUS,0.5,0.9143279841802872,0.0,0.4909764087299657
2013,AUS,0.5,0.924104041823007,0.0,0.5203132897401205
2014,AUS,0.5,0.8941937936736167,0.0,0.5259962519431554
2015,AUS,0.5,0.8596616988672946,1.1679204749935348,0.5287762462350205
2016,AUS,0.5,0.8186674410368473,1.1542631470990916,0.5348177082732658
2017,AUS,0.5,0.8456535361445922,1.1447381775545051,0.5422446274655407
2018,AUS,0.5,0.737946427457482,1.080248482056129,0.5410433315927275
2019,AUS,0.5,0.7944352533110872,1.1138472815018658,0.0
2020,AUS,0.5,,,0.0
2000,BRN,0.5,0.4153243719269567,0.7069197122626985,0.0
2001,BRN,0.5,0.4063069493733921,0.7128275044490765,0.0
2002,BRN,0.5,0.4182551731205165,0.7239261427536753,0.0
2003,BRN,0.5,0.4201550774208177,0.7347874464119851,0.0
