year,country_code,life_expectancy,child_mortality,school_enrollment_secondary,healthcare_capacity_index,health_development_ratio
2000,ASM,,,,,
2001,ASM,,,,,
2002,ASM,,,,,
2003,ASM,,,,,
2004,ASM,,,,,
2005,ASM,,,,,
2006,ASM,,,,,
2007,ASM,,,,,
2008,ASM,,,,,
2009,ASM,,,,,
2010,ASM,,,,,
2011,ASM,,,,,
2012,ASM,,,,,
2013,ASM,,,,,
2014,ASM,,,,,
2015,ASM,,,,,
2016,ASM,,,,,
2017,ASM,,,,,
2018,ASM,,,,,
2019,ASM,,,,,
2020,ASM,,,,,
2000,AUS,79.2341463414634,6.2,,76.72746227547968,12.779701022816678
2001,AUS,79.6341463414634,6.1,,78.2255488247772,13.054778088764492
2002,AUS,79.9365853658537,6.0,,79.7760718641593,13.322764227642285
2003,AUS,80.2390243902439,5.9,,82.86426221905369,13.59983464241422
2004,AUS,80.490243902439,5.8,,88.056059395752,13.877628259041208
2005,AUS,80.8414634146341,5.7,,86.6097750704316,14.18271287976037
2006,AUS,81.0414634146342,5.6,,88.97705066181403,14.471689895470393
2007,AUS,81.2926829268293,5.4,,0.0,15.054200542005423
2008,AUS,81.3951219512195,5.2,,94.7887248870619,15.65290806754221
2009,AUS,81.5439024390244,5.0,,100.35211257890194,16.308780487804878
2010,AUS,81.6951219512195,4.8,,106.5334903628688,17.01981707317073
2011,AUS,81.8951219512195,4.5,,106.43407512253886,18.19891598915989
2012,AUS,82.0463414634146,4.3,,106.89916254034502,19.08054452637549
2013,AUS,82.1487804878049,4.1,,109.8669203794162,20.036287923854854
2014,AUS,82.3,4.0,,117.51285303927412,20.575
2015,AUS,82.4,3.9,157.167663574219,124.30366761728604,21.128205128205128
2016,AUS,82.4487804878049,3.8,153.013198852539,126.68162699372546,21.697047496790763
2017,AUS,82.5,3.8,150.311477661133,0.0,21.71052631578948
2018,AUS,82.7487804878049,3.7,132.772888183594,0.0,22.364535266974293
2019,AUS,82.9,3.7,140.646041870117,0.0,22.405405405405407
2020,AUS,,3.7,,,
2000,BRN,72.809,10.3,84.6492309570313,6.328780386348,7.06883495145631
2001,BRN,73.076,10.1,85.0624389648438,0.0,7.235247524752474
2002,BRN,73.332,9.8,86.541862487793,7.903732006215002,7.48285714285714
2003,BRN,73.575,9.7,88.374153137207,0.0,7.585051546391753
2004,BRN,73.801,9.6,92.80322265625,8.558936584744,7.6876041666666675
2005,BRN,74.006,9.5,96.587532043457,6.16449071486556,7.790105263157894
2006,BRN,74.189,9.5,97.4411773681641,5.763307269327749,7.80936842105263
2007,BRN,74.351,9.5,95.7946090698242,0.0,7.826421052631579
2008,BRN,74.494,9.5,96.0159072875977,7.541085261396598,7.841473684210526
2009,BRN,74.623,9.6,98.2040405273438,7.200023320526401,7.773229166666667
2010,BRN,74.74,9.7,99.1756362915039,8.119832202056639,7.705154639175259
2011,BRN,74.852,9.8,101.430549621582,7.081664404620719,7.637959183673469
2012,BRN,74.962,10.0,106.264831542969,6.74610503444904,7.4962
2013,BRN,75.075,10.2,104.913307189941,7.452256829336,7.36029411764706
2014,BRN,75.193,10.4,99.591552734375,7.026716569635451,7.230096153846153
2015,BRN,75.318,10.6,96.4147186279297,11.77771575657524,7.105471698113208
2016,BRN,75.45,10.8,94.0541763305664,0.0,6.986111111111112
2017,BRN,75.585,11.0,92.9373168945313,10.411095960582,6.871363636363636
2018,BRN,75.722,11.2,93.482780456543,0.0,6.760892857142856
2019,BRN,75.86,11.4,92.0957183837891,0.0,6.65438596491228
2020,BRN,,11.5,91.3609085083008,,
2000,CHN,71.397,36.7,60.2598991394043,9.35832227869056,1.9454223433242508
2001,CHN,71.732,34.1,60.0842208862305,8.850306592795599,2.1035777126099706
2002,CHN,72.061,31.5,60.2845001220703,8.295774759982399,2.2876507936507937
2003,CHN,72.381,28.8,62.1411285400391,8.865296452371998,2.513229166666666
2004,CHN,72.689,26.3,,9.141687734737353,2.763840304182509
2005,CHN,72.985,24.0,,9.31830688015952,3.041041666666666
2006,CHN,73.271,21.9,71.3284530639648,9.4018519400179,3.345707762557077
2007,CHN,73.553,20.1,76.7876586914063,9.27005967104464,3.6593532338308448
2008,CHN,73.835,18.5,81.7128372192383,10.93700049066774,3.991081081081081
2009,CHN,74.119,17.0,85.4514083862305,13.867074353405805,4.359941176470588
2010,CHN,74.409,15.8,88.1734008789063,14.97872586849834,4.709430379746836
2011,CHN,74.708,14.6,,17.0510213672694,5.116986301369863
2012,CHN,75.013,13.5,,21.119178649705287,5.556518518518519
2013,CHN,75.321,12.5,,25.33426864409532,6.02568
2014,CHN,75.629,11.6,,28.6260350850299,6.519741379310346
2015,CHN,75.928,10.7,,33.187352697281646,7.09607476635514
2016,CHN,76.21,9.9,,37.32722045395152,7.697979797979797
2017,CHN,76.47,9.2,,43.22719646158964,8.31195652173913
2018,CHN,76.704,8.5,,0.0,9.024
