year,country_code,internet_usage_pct,mobile_subscriptions_per_100,digital_readiness_score,digital_connectivity_index
2000,ASM,,3.445115097,0.01148371699,0.0
2001,ASM,,3.685848121,0.0122861604033333,0.0
2002,ASM,,3.446174678,0.0114872489266666,0.0
2003,ASM,,3.529174509,0.01176391503,0.0
2004,ASM,,3.770044068,0.0125668135599999,0.0
2005,ASM,,,0.0,0.0
2006,ASM,,,0.0,0.0
2007,ASM,,,0.0,0.0
2008,ASM,,,0.0,0.0
2009,ASM,,,0.0,0.0
2010,ASM,,,0.0,0.0
2011,ASM,,,0.0,0.0
2012,ASM,,,0.0,0.0
2013,ASM,,,0.0,0.0
2014,ASM,,,0.0,0.0
2015,ASM,,,0.0,0.0
2016,ASM,,,0.0,0.0
2017,ASM,,,0.0,0.0
2018,ASM,,,0.0,0.0
2019,ASM,,,0.0,0.0
2020,ASM,,,0.0,0.0
2000,AUS,46.75611561,45.08349055,0.3840588798833333,4.591218679455535
2001,AUS,52.68926643,57.99526035,0.45676386665,5.527863714183233
2002,AUS,,65.30467336,0.2176822445333333,0.0
2003,AUS,,73.10883938,0.2436961312666667,0.0
2004,AUS,,82.89884796,0.2763294932,0.0
2005,AUS,63.0,91.28509793,0.6192836597666665,7.583509194027525
2006,AUS,66.0,96.26672665,0.6508890888333334,7.9709497294237135
2007,AUS,69.45,101.6430022,0.6860600073333333,8.40184890532435
2008,AUS,71.67,103.6926101,0.7039920336666666,8.620701459780985
2009,AUS,74.25,102.0649721,0.7114665736666667,8.705357073908571
2010,AUS,76.0,101.558682,0.71852894,8.78547655622619
2011,AUS,79.48769771,105.5506209,0.74927389155,9.159681133752423
2012,AUS,79.0,106.2611564,0.7492038546666667,9.162222086153555
2013,AUS,83.45349717,107.2461548,0.7747546685166666,9.460479203557917
2014,AUS,84.0,106.2025331,0.7740084436666665,9.445111317713518
2015,AUS,84.56051491,107.6778349,0.7817286908833333,9.542165982384695
2016,AUS,86.54,109.4312952,0.797470984,9.731487186760305
2017,AUS,86.54504885,108.4417819,0.7941978505833333,9.687672223974417
2018,AUS,,111.012255,0.37004085,0.0
2019,AUS,,109.2520084,0.3641733613333333,0.0
